,ID,Dates,city,Racer,Racer_1,LAST_RACER_SAME_AS_CURRENT_RACER,LAST_RACER_SAME_AS_CURRENT_RACER_BINARY,Speed_in_Secs,GANYAN_TRANS,GANYAN_TRANS_INT,RANK,AG_Percentage,AG_RANK_AMONG_GROUP,AG_RANKING_Score_Normalized,Ranking_Score_Normalized,First_Position_Percentage,Second_Position_Percentage,Third_Position_Percentage,Fourth_Position_Percentage,TOP_THREE_RACER_PERCENTAGE,RANK_LATEST_1ST,RANK_LATEST_2ND,RANK_LATEST_3RD,RANK_LATEST_4TH,RANK_LATEST_5TH,TOPLAM_RACES,TOPLAM_1ST,TOPLAM_2ND,TOPLAM_3RD,TOPLAM_4TH,BIRINCILIK_PERCENTAGE,IKINCILIK_PERCENTAGE,UCUNCULUK_PERCENTAGE,DORDUNCULUK_PERCENTAGE,SPEED_LATEST_1ST,SPEED_LATEST_2nd,SPEED_LATEST_3rd,SPEED_LATEST_4th,SPEED_LATEST_5th,RANK.1,Ranking_Score_Normalized.1,kosu,kosu_saati,at_yası,at_ana,at_baba,at_soyu,Mevsim,KG,K,DB,SK,SKG,GKR,YP,TGK,ÖG,SGKR,Winner
0,ENGİNYAR(12) KG  SK  ,2015-08-07,Elazığ,S.KAPLAN,S.KAPLAN,True,1,157.51,12.65,1265,8,2.0,11,21,46,8,8,7,9,23,8.0,10.0,5.0,11.0,10.0,35,1,3,0,6,2,8,0,17,11.4278,10.8861,11.464,10.98,9.3825,8,46,8,akşam,4,a,a,aa,yaz,1,0,0,1,0,0,0,0,0,0,0
1,TÜRK LOKUMU(8) KG  ,2015-07-29,Elazığ,R.YILDIRIM,R.YILDIRIM,True,1,167.86,15.85,1585,13,1.0,12,0,7,4,6,6,7,16,13.0,6.0,6.0,9.0,7.0,22,1,1,2,4,4,4,9,18,10.1275,13.8776,13.4525,13.5883,13.9714,13,7,8,akşam,4,a,k,ak,yaz,1,0,0,0,0,0,0,0,0,0,0
2,KINGDOM(6) KG  K  ,2015-07-29,Elazığ,C.TEPE,C.TEPE,True,1,147.87,10.1,1010,7,3.0,11,8,53,8,8,7,8,23,7.0,14.0,8.0,7.0,9.0,56,6,6,9,5,10,10,16,8,13.5254,14.8968,13.9792,14.0046,13.7287,7,53,6,öğle,7,d,a,da,yaz,1,1,0,0,0,0,0,0,0,0,0
3,ŞAHDİLDAR(10) KG  K  ,2015-07-21,Ankara,MÜS.ÇELİK,MÜS.ÇELİK,True,1,74.67,3.55,355,7,16.0,2,90,39,14,13,13,12,40,7.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,16.0707,0.0,0.0,0.0,0.0,7,39,8,öğle,2,d,d,dd,yaz,1,1,0,0,0,0,0,0,0,0,0
4,DEHERE VERE(8) SKG  SK  ,2015-07-21,Ankara,E.METİN,E.METİN,True,1,73.96,8.8,880,3,5.0,8,29,80,8,9,10,10,27,3.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,100,0,16.225,0.0,0.0,0.0,0.0,3,80,8,öğle,2,a,d,ad,yaz,0,0,0,1,1,0,0,0,0,0,0
5,KIZILÖREN(8) KG  K    ,2015-07-14,Ankara,O.BULUT,O.BULUT,True,1,131.24,3.35,335,5,15.0,2,92,73,7,8,8,9,23,5.0,6.0,1.0,7.0,3.0,27,3,2,3,2,11,7,11,7,14.4773,14.0463,14.6458,13.9223,13.3455,5,73,10,akşam,5,d,a,da,yaz,1,1,0,0,0,0,0,0,0,0,0
6,DESTANBABA(7) KG  SK  ,2015-08-07,Elazığ,C.TEPE,C.TEPE,True,1,101.39,24.8,2480,8,1.0,9,35,46,8,8,7,8,23,8.0,7.0,1.0,6.0,5.0,8,1,0,0,0,12,0,0,0,11.8355,12.4316,12.2424,11.9119,11.6341,8,46,6,öğle,3,k,e,ke,yaz,1,0,0,1,0,0,0,0,0,0,0
7,POONAWALLA(8) KG  DB  ,2015-07-22,İstanbul,M.ÇİÇEK,M.ÇİÇEK,True,1,98.42,20.65,2065,9,1.0,9,18,19,14,14,14,12,42,9.0,11.0,13.0,12.0,6.0,23,3,3,0,0,13,13,0,0,16.2569,15.7563,16.2206,16.2373,16.1017,9,19,8,akşam,5,d,k,dk,yaz,1,0,1,0,0,0,0,0,0,0,0
8,TURBOKAYA(10) KG    ,2015-07-21,Adana,SER.ÇELİK,SER.ÇELİK,True,1,126.34,17.9,1789,12,3.0,7,56,26,2,4,3,3,9,12.0,14.0,12.0,11.0,7.0,65,3,2,7,4,4,3,10,6,13.4558,12.8018,12.8071,12.9918,12.5653,12,26,4,akşam,8,k,a,ka,yaz,1,0,0,0,0,0,0,0,0,0,0
9,RUŞEN(9) KG  SK  ,2015-07-22,Elazığ,D.TAŞ,D.TAŞ,True,1,135.62,12.1,1210,9,1.0,10,9,27,2,2,3,1,7,9.0,5.0,8.0,7.0,0.0,4,0,0,0,0,0,0,0,0,11.0603,12.109000000000002,11.5111,11.2349,0.0,9,27,6,öğle,3,a,e,ae,yaz,1,0,0,1,0,0,0,0,0,0,0
10,AMİSTAD(7) K  ,2015-07-14,Adana,GÖKH.YILMAZ,GÖKH.YILMAZ,True,1,100.33,14.6,1460,6,2.0,9,50,68,6,7,7,9,20,6.0,6.0,7.0,5.0,7.0,6,0,0,0,1,0,0,0,16,14.0374,13.954,13.1963,13.127,13.7334,6,68,9,akşam,4,k,a,ka,yaz,0,1,0,0,0,0,0,0,0,0,0
11,SECRED FAIR(10) (USA) SKG  SK  ,2015-07-21,Adana,S.ERKUŞ,S.ERKUŞ,True,1,0.0,3.6,360,1,14.0,3,81,100,8,9,9,10,26,1.0,5.0,15.0,11.0,5.0,35,3,3,5,5,8,8,14,14,16.8895,16.2635,14.5737,16.1889,15.9847,1,100,3,akşam,5,d,g,dg,yaz,0,0,0,1,1,0,0,0,0,0,1
12,GLENDOR(5) KG  SK  ,2015-12-07,İstanbul,H.KARATAŞ,H.KARATAŞ,True,1,91.62,1.65,165,7,45.0,1,91,45,27,19,15,11,61,7.0,1.0,1.0,3.0,4.0,24,13,3,3,2,54,12,12,8,16.372,16.5984,16.8587,16.2478,15.4595,7,45,6,öğle,5,d,a,da,yaz,1,0,0,1,0,0,0,0,0,0,0
13,CESARIO(5) KG  SK  ,2015-07-14,Adana,V.KIZMAZ,V.KIZMAZ,True,1,141.97,14.3,1430,8,1.0,6,68,56,9,10,10,10,29,8.0,10.0,6.0,7.0,8.0,5,0,0,0,0,0,0,0,0,14.7919,15.5209,16.0991,14.0954,14.7091,8,56,7,akşam,3,a,g,ag,yaz,1,0,0,1,0,0,0,0,0,0,0
