ID,Unnamed: 0,Date,city,race_n_time,Racer,Racer_1,LAST_RACER_SAME_AS_CURRENT_RACER,LAST_RACER_SAME_AS_CURRENT_RACER_BINARY,Yas,Speed_in_Secs,GANYAN_TRANS,GANYAN_TRANS_INT,RANK,AG_Percentage,AG_RANK_AMONG_GROUP,AG_RANKING_Score_Normalized,Ranking_Score_Normalized,First_Position_Percentage,Second_Position_Percentage,Third_Position_Percentage,Fourth_Position_Percentage,TOP_THREE_RACER_PERCENTAGE,RANK_LATEST_1ST,RANK_LATEST_2ND,RANK_LATEST_3RD,RANK_LATEST_4TH,RANK_LATEST_5TH,TOPLAM_RACES,TOPLAM_1ST,TOPLAM_2ND,TOPLAM_3RD,TOPLAM_4TH,BIRINCILIK_PERCENTAGE,IKINCILIK_PERCENTAGE,UCUNCULUK_PERCENTAGE,DORDUNCULUK_PERCENTAGE,SPEED_LATEST_1ST,SPEED_LATEST_2nd,SPEED_LATEST_3rd,SPEED_LATEST_4th,SPEED_LATEST_5th,RANK.1,Ranking_Score_Normalized.1,kosu,kosu_saati,at_yası,at_ana,at_baba,Mevsim,KG,K,DB,SK,SKG,TS,GKR,AP,YP,TGK,ÖG,KGS,SGKR,DS
ENGİNYAR(12) KG  SK  ,511,08/07/2015,Elazığ,8. Koşu:18:00,S.KAPLAN,S.KAPLAN,True,1,4y a a,157.51,12.65,1265,8,2.0,11,21,46,8,8,7,9,23,8.0,10.0,5.0,11.0,10.0,35,1,3,0,6,2,8,0,17,11.42784585105708,10.88613106901807,11.46402319778812,10.9799615701345,9.382513340761156,8,46,8,18:00,4,a,a,yaz,1,0,0,1,0,0,0,0,0,0,0,0,0,0
TÜRK LOKUMU(8) KG  ,531,29/07/2015,Elazığ,8. Koşu:18:00,R.YILDIRIM,R.YILDIRIM,True,1,4y a k,167.86,15.85,1585,13,1.0,12,0,7,4,6,6,7,16,13.0,6.0,6.0,9.0,7.0,22,1,1,2,4,4,4,9,18,10.12748719170737,13.87764542615936,13.4524839050639,13.58827525963312,13.971358714635,13,7,8,18:00,4,a,k,yaz,1,0,0,0,0,0,0,0,0,0,0,0,0,0
KINGDOM(6) KG  K  ,560,29/07/2015,Elazığ,6. Koşu:17:00,C.TEPE,C.TEPE,True,1,7y d a,147.87,10.1,1010,7,3.0,11,8,53,8,8,7,8,23,7.0,14.0,8.0,7.0,9.0,56,6,6,9,5,10,10,16,8,13.52539392709813,14.89678655032986,13.97917103515762,14.00456991228717,13.72872048325096,7,53,6,17:00,7,d,a,yaz,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ŞAHDİLDAR(10) KG  K  ,601,21/07/2015,Ankara,8. Koşu:17:30,MÜS.ÇELİK,MÜS.ÇELİK,True,1,2y d d,74.67,3.55,355,7,16.0,2,90,39,14,13,13,12,40,7.0,,,,,1,0,0,0,0,0,0,0,0,16.07071112896746,,,,,7,39,8,17:30,2,d,d,yaz,1,1,0,0,0,0,0,0,0,0,0,0,0,0
DEHERE VERE(8) SKG  SK  ,618,21/07/2015,Ankara,8. Koşu:17:30,E.METİN,E.METİN,True,1,2y a d,73.96,8.8,880,3,5.0,8,29,80,8,9,10,10,27,3.0,,,,,1,0,0,1,0,0,0,100,0,16.22498647917794,,,,,3,80,8,17:30,2,a,d,yaz,0,0,0,1,1,0,0,0,0,0,0,0,0,0
KIZILÖREN(8) KG  K    ,624,14/07/2015,Ankara,10. Koşu:18:00,O.BULUT,O.BULUT,True,1,5y d a,131.24,3.35,335,5,15.0,2,92,73,7,8,8,9,23,5.0,6.0,1.0,7.0,3.0,27,3,2,3,2,11,7,11,7,14.47729350807681,14.0462590130162,14.64580282124412,13.92228831793444,13.34546557476494,5,73,10,18:00,5,d,a,yaz,1,1,0,0,0,0,0,0,0,0,0,0,0,0
DESTANBABA(7) KG  SK  ,644,08/07/2015,Elazığ,6. Koşu:17:00,C.TEPE,C.TEPE,True,1,3y k e,101.39,24.8,2480,8,1.0,9,35,46,8,8,7,8,23,8.0,7.0,1.0,6.0,5.0,8,1,0,0,0,12,0,0,0,11.83548673439195,12.43162605668821,12.24239951030402,11.91185229303157,11.63405605499736,8,46,6,17:00,3,k,e,yaz,1,0,0,1,0,0,0,0,0,0,0,0,0,0
POONAWALLA(8) KG  DB  ,717,22/07/2015,İstanbul,8. Koşu:21:30,M.ÇİÇEK,M.ÇİÇEK,True,1,5y d k,98.42,20.65,2065,9,1.0,9,18,19,14,14,14,12,42,9.0,11.0,13.0,12.0,6.0,23,3,3,0,0,13,13,0,0,16.25685836212152,15.7563025210084,16.220600162206,16.23728079670925,16.10169491525424,9,19,8,21:30,5,d,k,yaz,1,0,1,0,0,0,0,0,0,0,0,0,0,0
TURBOKAYA(10) KG    ,723,21/07/2015,Adana,4. Koşu:20:00,SER.ÇELİK,SER.ÇELİK,True,1,8y k a,126.34,17.9,1789,12,3.0,7,56,26,2,4,3,3,9,12.0,14.0,12.0,11.0,7.0,65,3,2,7,4,4,3,10,6,13.45575431375653,12.80175566934894,12.80707882174875,12.99183370452858,12.56530652734607,12,26,4,20:00,8,k,a,yaz,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RUŞEN(9) KG  SK  ,749,22/07/2015,Elazığ,6. Koşu:17:30,D.TAŞ,D.TAŞ,True,1,3y a e,135.62,12.1,1210,9,1.0,10,9,27,2,2,3,1,7,9.0,5.0,8.0,7.0,,4,0,0,0,0,0,0,0,0,11.06031558767143,12.10898082744702,11.51109250732524,11.23490309896077,,9,27,6,17:30,3,a,e,yaz,1,0,0,1,0,0,0,0,0,0,0,0,0,0
